Server,AppD Status,Installation Status
sun1086,Unreachable,Unknown
sun1089,Up,Installed
sun1135,Up,Installed
sun1155,Up,Installed
sun1205,Down,Installed
sun1207,Up,Installed
sun1216,N/A,Not Installed
sun1256,N/A,Not Installed
sun1269,Up,Installed
sun1276,Up,Installed
sun1277,N/A,Not Installed
sun1290,Unreachable,Unknown
sun1293,Up,Installed
sun1294,Unreachable,Authentication Failed
sun1315,Up,Installed
sun1316,Up,Installed
sun1317,Up,Installed
sun1330,Down,Installed
sun1333,Up,Installed
sun1340,Up,Installed
sun1341,Up,Installed
sun1350,Unreachable,Authentication Failed
sun1351,N/A,Not Installed
sun1383,Unreachable,Unknown
sun1384,Unreachable,Unknown
sun1395,Up,Installed
sun1403,Up,Installed
sun1473,Unreachable,Authentication Failed
sun1491,Up,Installed
sun1501,Down,Installed
sun1508,Up,Installed
sun1509,Up,Installed
sun1586,Unreachable,Authentication Failed
sun1593,Up,Installed
sun1597,N/A,Not Installed
sun1824-cd,Unreachable,Unknown
sun1830,Unreachable,Unknown
sun1843,Up,Installed
sun1880,Up,Installed
sun1880-cd,Up,Installed
sun1881,Up,Installed
sun1881-cd,Up,Installed
sun1882,Up,Installed
sun1882-cd,Up,Installed
sun1884,Up,Installed
sun1884-cd,Up,Installed
sun1886-cd,Up,Installed
sun1887-cd,Up,Installed
sun1889,Up,Installed
sun1889-cd,Up,Installed
sun2001,Up,Installed
sun2002,Up,Installed
sun2004,Up,Installed
sun2005,Up,Installed
sun2006,Up,Installed
sun2104,Up,Installed
sun2105,Up,Installed
sun2106,Up,Installed
sun2201,Up,Installed
sun2202,Up,Installed
sun2204,Up,Installed
sun2205,Up,Installed
sun2206,Up,Installed
sun2304,Up,Installed
sun2305,Up,Installed
sun2306,Up,Installed
sun2502,N/A,Not Installed
sun2580,N/A,Not Installed
sun2581,N/A,Not Installed
sun3051,Down,Installed
sun3151,N/A,Not Installed
SUN3268,Unreachable,Unknown
sun3582,Unreachable,Unknown
sun3664,Up,Installed
sun3665,Up,Installed
sun3674,N/A,Not Installed
sun3716,Down,Installed
sun3717,Down,Installed
sun3899,Unreachable,Unknown
sun4041,N/A,Not Installed
sun4141,N/A,Not Installed
sun4146,N/A,Not Installed
sun4340,Up,Installed
sun4341,Up,Installed
sun4342,Up,Installed
sun4343,Up,Installed
sun4351,Down,Installed
sun4395,Up,Installed
sun4403,Up,Installed
sun4584,Up,Installed
sun4874,Unreachable,Unknown
sun4875,Unreachable,Unknown
sun5104,Up,Installed
sun5105,Up,Installed
sun5556,N/A,Not Installed
sun5561,N/A,Not Installed
sun5562,N/A,Not Installed
sun5901,Up,Installed
sun5901-cd,Up,Installed
sun5902,Up,Installed
sun5902-cd,Up,Installed
sun5903,Up,Installed
sun5903-cd,Up,Installed
sun5904,Up,Installed
sun5904-cd,Up,Installed
sun5905,Up,Installed
sun5905-cd,Up,Installed
sun5906,Up,Installed
sun5906-cd,Up,Installed
sun6467,Down,Installed
sun6468,Down,Installed
sun6567,Up,Installed
sun6568,Up,Installed
sun6901,Up,Installed
sun6901-cd,Up,Installed
sun6902,Up,Installed
sun6902-cd,Up,Installed
sun6903,Up,Installed
sun6903-cd,Up,Installed
sun6904,Up,Installed
sun6904-cd,Up,Installed
sun6905,Up,Installed
sun6905-cd,Up,Installed
sun6906,Up,Installed
sun6906-cd,Up,Installed
sun6907,Up,Installed
sun6907-cd,Up,Installed
sun9306,Up,Installed
